ins,additive_name,food_category_code,food_category,max_level,limit_type,note,page
,PHOSPHATES,1.1.1.1,Milk (plain),"1,500 mg/kg",numeric,"33, 227",69
,PHOSPHATES,1.1.1.2,"Buttermilk
(plain)","1,500 mg/kg",numeric,33,69
950,"Acesulfame
potassium",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",350 mg/kg,numeric,188,69
129,Allura red AC,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",100 mg/kg,numeric,52,69
951,Aspartame,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",600 mg/kg,numeric,191,69
962,"Aspartame-
Acesulfame salt",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",350 mg/kg,numeric,113,69
133,Brilliant blue FCF,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",100 mg/kg,numeric,52,69
,"CAROTENOID
S",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",150 mg/kg,numeric,52,69
100,Curcumin,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",100 mg/kg,numeric,,69
161g,Canthaxanthin,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",15 mg/kg,numeric,"52, 170",69
150a,"Caramel color
(plain)",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",GMP,gmp,,69
150c,"Caramel III -
ammonia caramel",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented","2,000 mg/kg",numeric,52,69
150d,"Caramel IV -
sulfite ammonia
caramel",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented","2,000 mg/kg",numeric,52,69
,Annatto,1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",100 mg/kg,numeric,,69
160a(ii),"beta-Carotenes,
vegetable",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented","1,000 mg/kg",numeric,52,69
,"CHLOROPHYL
LS AND
CHLOROPHYL",1.1.2,"Dairy-based
drinks -
flavoured
milk and/or
fermented",50 mg/kg,numeric,"190, 52",69
472e,Diacetyltartaric,,,"5,000 mg/kg",numeric,,70
143,Fast green FCF,,,100 mg/kg,numeric,52,70
163(ii),Grape skin extract,,,150 mg/kg,numeric,"181, 52",70
,IRON OXIDES,,,20 mg/kg,numeric,52,70
132,Indigotine (Indigo,,,100 mg/kg,numeric,52,70
961,Neotame,,,20 mg/kg,numeric,,70
,PHOSPHATES,,,"1,320 mg/kg",numeric,33,70
,POLYSORBAT,,,"3,000 mg/kg",numeric,,70
124,Ponceau 4R,,,100 mg/kg,numeric,52,70
122,Carmoisine,,,100 mg/kg,numeric,,70
127,Erythrosine,,,50 mg/kg,numeric,,70
102,Tartrazine,,,100 mg/kg,numeric,,70
477,Propylene glycol,,,"5,000 mg/kg",numeric,,70
,RIBOFLAVINS,,,300 mg/kg,numeric,52,70
,SACCHARINS,,,80 mg/kg,numeric,,70
,SORBATES,,,"1,000 mg/kg",numeric,"220, 42",70
960,Steviol glycosides,,,200 mg/kg,numeric,"26, 201",70
955,Sucralose,,,300 mg/kg,numeric,,70
474,Sucroglycerides,,,"5,000 mg/kg",numeric,,70
110,Sunset yellow,,,100 mg/kg,numeric,52,70
554,Sodium,,,60 mg/kg,numeric,"6, 253",71
464,Hydroxy propyl,,"Hydroxy propyl
methyl cellulose",7.5 g/kg,numeric,,71
,PHOSPHATES,1.2,"Fermented
and renneted
milk products
(plain),
excluding
food category
01.1.2 (dairy-
based drinks),
fermented
milk
products,yog
hurt,
flavoured
yoghurt, dahi,
flavoured
dahi,mishti
dahi","1,000 mg/kg",numeric,33,71
150d,Caramel IV -,1.2.1,"Fermented
milks (plain)*",150 mg/kg,numeric,12,71
472e,Diacetyltartaric,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation","5,000 mg/kg",numeric,,72
472a,Acetic and fatty,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
1401,Acid treated,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
1402,Alkaline treated,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
1403,Bleached starch,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
418,Gellan gum,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
575,Glucono delta-,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,,72
412,Guar gum,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
414,Gum arabic,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
463,Hydroxypropyl,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
464,Hydroxypropyl,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
1440,Hydroxypropyl,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
416,Karaya gum,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
425,Konjac flour,1.2.1.2,"Fermented
milks (plain)
heat treated
after
fermentation",GMP,gmp,234,72
472b,Lactic and fatty,,,GMP,gmp,234,73
504(i),Magnesium,,,GMP,gmp,,73
511,Magnesium,,,GMP,gmp,234,73
528,Magnesium,,,GMP,gmp,,73
504(ii),Magnesium,,,GMP,gmp,,73
296,"Malic acid, DL-",,,GMP,gmp,,73
461,Methyl cellulose,,,GMP,gmp,234,73
465,Methyl ethyl,,,GMP,gmp,234,73
460(i),Microcrystalline,,,GMP,gmp,234,73
471,Mono and di,,,GMP,gmp,234,73
941,Nitrogen,,,GMP,gmp,59,73
942,Nitrous oxide,,,GMP,gmp,59,73
440,Pectins,,,GMP,gmp,234,73
400,Alginic acid,,,GMP,gmp,234,73
403,Ammonium,,,GMP,gmp,234,73
527,Ammonium,,,GMP,gmp,,73
404,Calcium alginate,,,GMP,gmp,234,74
170(i),Calcium,,,GMP,gmp,,74
526,Calcium,,,GMP,gmp,,74
327,Calcium lactate,,,GMP,gmp,,74
529,Calcium oxide,,,GMP,gmp,,74
290,Carbon dioxide,,,GMP,gmp,59,74
410,Carob bean gum,,,GMP,gmp,234,74
330,Citric acid,,,GMP,gmp,,74
472c,Citric and fatty,,,GMP,gmp,234,74
402,Potassium,,,GMP,gmp,234,74
501(i),Potassium,,,GMP,gmp,234,74
332(i),Potassium,,,GMP,gmp,234,74
326,Potassium lactate,,,GMP,gmp,,74
460(ii),Powdered,,,GMP,gmp,,74
470(i),"Salts of myristic,",,,GMP,gmp,234,74
470(ii),Salts of oleic acid,,,GMP,gmp,234,75
401,Sodium alginate,,,GMP,gmp,234,75
500(i),Sodium carbonate,,,GMP,gmp,,75
466,Carboxymethyl,,,GMP,gmp,234,75
331(i),Sodium,,,GMP,gmp,234,75
500(ii),Sodium hydrogen,,,GMP,gmp,,75
524,Sodium hydroxide,,,GMP,gmp,,75
325,Sodium lactate,,,GMP,gmp,,75
417,Tara gum,,,GMP,gmp,234,75
413,Tragacanth gum,,,GMP,gmp,234,75
332(ii),Tripotassium,,,GMP,gmp,234,75
415,Xanthan gum,,,GMP,gmp,234,75
100,Curcumin,,,100 mg/kg,numeric,,75
,RIBOFLAVINS,,,GMP,gmp,,75
150a,Caramel colour,,,150 mg/kg,numeric,,75
,Annatto,,Annatto,100 mg/kg,numeric,,75
,"CAROTENOID
S",,Annatto,100 mg/kg,numeric,,75
161g,Canthaxanthin,,,100 mg/kg,numeric,,76
102,Tartrazine,,,100 mg/kg,numeric,,76
110,Sunset yellow,,,100 mg/kg,numeric,,76
122,Carmoisine,,,100 mg/kg,numeric,,76
124,Ponceau 4R,,,100 mg/kg,numeric,,76
127,Erythrosine,,,50 mg/kg,numeric,,76
132,Indigotine,,,100 mg/kg,numeric,3,76
133,Brilliant blue FCF,,,100 mg/kg,numeric,,76
143,Fast green FCF,,,100 mg/kg,numeric,,76
150d,Caramel IV -,1.2.2,"Renneted
milk (plain)",GMP,gmp,,76
472e,Diacetyltartaric,1.2.2,"Renneted
milk (plain)","5,000 mg/kg",numeric,,76
,SORBATES,1.2.2,SORBATES,"1,000 mg/kg",numeric,42,76
170(i),Calcium,1.2.2,SORBATES,GMP,gmp,,76
290,Carbon dioxide,1.2.2,SORBATES,GMP,gmp,59,76
,Lecithins,1.2.2,Lecithins,GMP,gmp,,76
410,Carob bean gum,1.2.2,Lecithins,GMP,gmp,,76
412,Guar gum,1.2.2,Lecithins,GMP,gmp,,76
414,Gum arabic,1.2.2,Lecithins,GMP,gmp,,76
421,Mannitol,,,GMP,gmp,,77
422,Glycerol,,,GMP,gmp,,77
460(i),Microcrystalline,,,GMP,gmp,,77
461,Methyl cellulose,,,GMP,gmp,,77
463,Hydroxypropyl,,,GMP,gmp,,77
464,Hydroxypropyl,,,GMP,gmp,,77
465,Methyl ethyl,,,GMP,gmp,,77
472a,Acetic and fatty,,,GMP,gmp,,77
472b,Lactic and fatty,,,GMP,gmp,,77
472c,Citric and fatty,,,GMP,gmp,,77
511,Magnesium,,,GMP,gmp,,77
941,Nitrogen,,,GMP,gmp,,77
1400,"Dextrins, roasted",,,GMP,gmp,,77
1401,Acid-treated,,,GMP,gmp,,77
1402,Alkaline treated,,,GMP,gmp,,77
1403,Bleached starch,,,GMP,gmp,,78
1404,Oxidized starch,,,GMP,gmp,,78
1410,Monostarch,,,GMP,gmp,,78
1412,Distarch,,,GMP,gmp,,78
1414,Acetylated,,,GMP,gmp,,78
1422,Acetylated,,,GMP,gmp,,78
1440,Hydroxypropyl,,,GMP,gmp,,78
1442,Hydroxypropyl,,,GMP,gmp,,78
440,Pectins,,,GMP,gmp,,78
1413,Phosphated,,,GMP,gmp,,78
332(i),Potassium,,,GMP,gmp,,78
460(ii),Powdered,,,GMP,gmp,,78
470(i),"Salts of myristic,",,,GMP,gmp,,78
470(ii),Salts of oleic acid,,,GMP,gmp,,79
466,Carboxymethyl,,,GMP,gmp,,79
331(i),Sodium,,,GMP,gmp,,79
1420,Starch acetate,,,GMP,gmp,,79
1450,Starch sodium,,,GMP,gmp,,79
1405,"Starches, enzyme",,,GMP,gmp,,79
417,Tara gum,,,GMP,gmp,,79
413,Tragacanth gum,,,GMP,gmp,,79
332(ii),Tripotassium,,,GMP,gmp,,79
331(iii),Trisodium citrate,,,GMP,gmp,,79
575,"Glucono delta
lactone",,,GMP,gmp,,80
,Propionic acid;,,,"2,000 mg/kg",numeric,,80
,SORBATES,,SORBATES,"2,000 mg/kg",numeric,,80
234,Nisin,,SORBATES,12.5 mg/kg,numeric,,80
407,Carrageenan,,SORBATES,150 mg/kg,numeric,,80
,ASCORBYL,1.3.2.1,"Non dairy
based
beverage
whitener",80 mg/kg,numeric,10,81
950,Acesulfame,1.3.2.1,"Non dairy
based
beverage
whitener","2,000 mg/kg",numeric,188,81
951,Aspartame,1.3.2.1,"Non dairy
based
beverage
whitener","6,000 mg/kg",numeric,191,81
,CAROTENOID,1.3.2.1,"Non dairy
based
beverage
whitener",100 mg/kg,numeric,,81
150c,Caramel III -,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
150d,Caramel IV -,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
160a(ii),"beta-Carotenes,",1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
472e,Diacetyl tartaric,1.3.2.1,"Non dairy
based
beverage
whitener","5,000 mg/kg",numeric,,81
961,Neotame,1.3.2.1,"Non dairy
based
beverage
whitener",65 mg/kg,numeric,,81
,POLYSORBAT,1.3.2.1,"Non dairy
based
beverage
whitener","4,000 mg/kg",numeric,,81
477,Propylene glycol,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
,RIBOFLAVINS,1.3.2.1,"Non dairy
based
beverage
whitener",300 mg/kg,numeric,,81
,SORBATES,1.3.2.1,"Non dairy
based
beverage
whitener",200 mg/kg,numeric,42,81
554,Sodium alumino,1.3.2.1,"Non dairy
based
beverage
whitener",570 mg/kg,numeric,"260, 6",81
955,Sucralose,,,580 mg/kg,numeric,,82
319,Tertiary,,,100 mg/kg,numeric,"15, 195",82
,PHOSPHATES,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)","2,200 mg/kg",numeric,33,82
,POLYSORBAT,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)","1,000 mg/kg",numeric,,82
472a,Acetic and fatty,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1422,Acetylated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1414,Acetylated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1401,Acid-treated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,236,82
406,Agar,,,GMP,gmp,,83
